austria,turkey,italy,france,germany,england,russia
0,2,7,6,7,4,9
0,2,10,9,2,4,8
2,7,7,4,6,6,3
4,5,5,7,3,8,3
0,8,6,10,1,6,4
3,5,5,7,4,7,4
0,5,5,6,0,10,9
0,6,5,6,3,4,11
0,7,6,6,3,8,4
0,5,6,8,6,4,6
4,6,7,7,1,7,3
0,6,3,7,4,7,8
0,0,7,9,0,8,11
10,5,0,6,7,4,3
0,4,7,7,0,6,11
0,6,5,6,3,6,9
0,4,8,7,2,4,10
7,5,0,4,2,6,11
0,4,9,8,4,5,5
2,0,10,8,5,7,3
2,8,4,7,5,5,4
0,3,5,8,5,6,8
0,6,6,5,9,6,3
0,6,4,9,0,10,6
0,4,7,6,4,5,9
0,5,6,7,1,9,7
0,5,6,1,6,7,9
6,9,4,9,0,6,1
3,5,5,7,5,5,5
0,5,7,4,5,6,8
6,6,2,9,2,6,4
1,6,1,8,5,5,9
0,6,5,5,6,5,8
0,6,5,6,0,9,9
0,4,7,5,3,6,10
0,4,8,11,0,8,4
0,4,10,6,7,3,5
0,4,7,6,6,4,8
9,7,1,8,0,9,1
0,7,3,6,10,2,7
0,5,7,7,3,7,6
0,5,2,5,9,5,9
10,0,3,7,3,9,3
7,1,5,5,0,6,11
0,4,9,9,2,4,6
0,6,7,6,4,6,6
0,9,0,8,4,6,8
0,5,4,8,4,5,9
0,4,5,8,0,8,10
0,5,8,5,5,8,4
3,6,5,6,0,7,8
0,6,5,7,0,5,12
4,7,5,6,1,9,2
0,1,11,8,0,9,6
0,6,10,7,4,5,3
0,7,3,8,1,6,10
0,7,4,7,4,6,7
0,8,8,6,0,9,4
0,0,8,8,0,8,11
1,6,3,7,2,8,8
0,7,4,8,0,9,7
0,8,2,8,3,6,8
0,2,10,0,5,9,9
0,8,3,7,10,4,3
0,5,8,1,7,8,6
3,5,5,3,9,6,4
0,6,5,8,1,7,7
4,6,7,8,1,6,3
0,0,5,9,4,5,12
5,1,7,6,1,8,7
0,5,6,5,3,6,10
0,4,6,7,4,7,7
0,4,7,6,4,5,9
0,6,7,7,0,4,11
0,5,6,6,11,5,2
0,3,9,7,4,5,7
0,5,6,9,0,7,8
0,6,6,7,0,10,6
2,0,5,1,8,8,11
2,0,3,4,5,9,12
0,3,12,0,3,9,8
0,7,4,7,2,8,7
0,8,7,9,3,3,5
0,6,8,10,5,2,4
0,4,7,10,2,6,6
0,5,7,6,4,7,6
0,3,5,8,4,5,10
0,6,9,8,3,6,3
0,6,4,6,6,5,8
0,0,5,7,5,6,12
0,5,2,6,3,9,10
0,5,8,7,2,9,4
0,4,5,1,10,7,8
0,6,4,7,4,5,9
6,0,0,7,0,7,15
1,4,6,8,0,8,8
0,5,2,11,0,6,11
2,5,7,7,7,3,4
0,5,5,6,0,11,8
0,1,6,8,1,10,9
